"","text"
"1","bagus  mantah sesui nan"
"2","bagus sesuai foto"
"3","okkkkk mantaaaaaaa  goood"
"4","bagus sesuai"
"5","null"
"6","null"
"7","null"
"8","bima"
"9","   layarnya dah bergaris"
"10","pesan rabu soreminggu sore samrang sesuai s mantabtks lazada"
"11","null"
"12","   cicilnya  aacc bkn"
"13","ah tv tsb suda  anti gores"
"14","pengirim barang  sesuai janji  exs     jumat barang samhari rabu semoga barangnya awet "
"15","kualitas ok"
"16"," tv led  merek shar hitam lc lei  mati total   bln kemana   menghubungi   bantuan mohon kebijakan  solusinya    garansi  k lazada  mohon bantuannya terimakasih"
"17","pengiriman sulama taatang  sich"
"18","ok barang samdengan  smoga   ahankan"
"19","null"
"20","null"
"21","null"
"22","  cicilan gmna cra nya"
"23","barang  samdan bagus thanks lazada"
"24","pengiriman cesihhh"
"25","samekarang  ok ne la"
"26","null"
"27","null"
"28","null"
"29","null"
"30","pengiriman ce  packaging good  barang oke thnks seller thnks lazada"
"31","barang diterima  selamat produk sesuai  deskri barang nya   nbaruriau terimakasih lazada  kotakom ng lanya mantap"
"32","null"
"33","senang belanja disiniyanan okebarang sesuai eksasiorder senin  selasa malam udah nyam  settingin sxan  kurirnyaknya tohthanks lazada"
"34"," test barangnya"
"35"," catransfer taesanan ditolak"
"36","null"
"37","null"
"38","null"
"39","null"
"40","null"
"41","null"
"42","null"
"43","barang ok kualitas bagus  harga yg cukuring kualitas gambar  ok iriman lumayan ga nyesel nya beli tv "
"44"," minat taalau dikirim  gresik jawa timur  gak klo dr info iriman bebas taakut gk sam   ani sdh full hd alm terima kasih"
"45","null"
"46","pengn tivinya"
"47",NA
"48","manta barang nya"
"49","barang mulusss mantapp"
"50","null"
"51","la  memiliki sfikasi  bagus  harga  terjangkau   tab sfikasi utama uk  emang intel core i  salah   judul  core i"
"52","barang samdengan aman kemam la sesuai    iklankan   la   dos    install  windows nya overall its worth the money"
"53","barang sam   selamat  sesuai deskripsi"
"54","harga  murah mantenget"
"55","murah banget  enga salah kasih harga tau nati salah kasi info barang nya"
"56","barang udah samtaas dinyalain g  gmn anggung  lazada"
"57",NA
"58","null"
"59","klo d tanartu kredit  gk brn ayarannya  sebulannya brterimaksh"
"60"," sangan  tembok ad k  lazada yg memasanga  terima kasih"
"61","null"
"62","katas hdd asli  tb  tanda lecet    ama kali membuka bungkus bubble nya"
"63","barang sesuai  gambar"
"64","hd diterima dg ing bubble bagus   tertulis barang elektronik atw keterangan   nganan  hati  istimewa  t  alanan finally bintang lhah"
"65","mantan barang samdengan selamat  packing ra k mantah "
"66","null"
"67","null"
"68","oke"
"69","    barangnya kualitas barang  membantu hdd  ala jatuh    iriman rak  lecet kasih bintang         "
"70","barang diterima  kondisi   taackagingnya "
"71","suka banget  barangnya ing nya raokoknya recomended banget   yg  beli tas hardisk  kulitas bagus yah  "
"72","null"
"73","null"
"74","null"
"75","flashdisk ori packing bagus  sukathx"
"76","aman ce"
"77","null"
"78","bagus ori    aja  gb klo  gilang  gb"
"79","katasy  bagusss aturany klw kosong g bnyakkk firusss tieh bnyakkk firusss  kecewe"
"80","baguss bangett kurir nya jga ramah cakela wkwk  gb tn  sekian gb th yah pokok nya recomended deh"
"81","uk dah samkemasan rairiman cebarang  bagus ayaran cod  u diragukan  "
"82","barangnya bagus banget sesuai  gambar dn deskri iriman ce bagus dn recomended bangt"
"83","ing tanubble warisik no minus   gb   ya lumayan"
"84","barang ok  ing ra kurir nya ramahh  puass "
"85","uk original mantamoga awet"
"86"," sesuai eksasi"
"87",""
"88","null"
"89","null"
"90","null"
"91","null"
"92","null"
"93","null"
"94","null"
"95","barang nya oke makasih"
"96","tumben ninja ceirimannya"
"97","null"
"98","barang asli  original terimakasih maju  toko jet store"
"99","flashdisk nya bagus sesuai ure barang cesamkurir ramah"
"100","oke mudahan awet  ga crash  semd coba"
"101","katas   gb ajaaaaa  huft"
"102","  gb  cuman  gb"
"103","thks ya barang sdh sammga cocok"
"104","siithank lazada"
"105","udah  trima barang ok moga awet"
"106","josss tenan"
"107","null"
"108","null"
"109","null"
"110","null"
"111","null"
"112"," ori bagus tahan    "
"113","kam kaga kebaca"
"114","null"
"115","null"
"116","null"
"117","barang bagus quick reshari  n besok  "
"118","null"
"119","null"
"120","brang cukugus"
"121","null"
"122","null"
"123","null"
"124","null"
"125","null"
"126","sintap"
"127","null"
"128","null"
"129","null"
"130","null"
"131","null"
"132","null"
"133","null"
"134","null"
"135","null"
"136","null"
"137","null"
"138","null"
"139","bagus ori"
"140","null"
"141","null"
"142","null"
"143","null"
"144","null"
"145","null"
"146","null"
"147","null"
"148","null"
"149","null"
"150","real good"
"151","null"
"152","null"
"153","null"
"154","null"
"155","null"
"156","bagus"
"157","null"
"158","good"
"159","null"
"160","null"
"161","null"
"162","null"
"163","null"
"164","null"
"165","null"
"166","null"
"167","null"
"168","iriman   tgl   n tgl  barang  dikemas tgl   diambil ekssi tgl   sam  dijabotabek taama"
"169","barang tanemasan tanelindung an  dus tv  liat dusnya sobek dikit   curiga kayaknya h  eeeeellllaaaa dibuka h beneran bad seller bener bener bad seller  untung aja taneduli  uk  kalo gak  untung n t ngan ya jgn jualan barang  retur  mudah mudahan barangnya cedi kirim lg d"
"170","barang diterima    yg dijadwalkan  malam  kondisi barang terlindungi  ing bawaan unit  kualitas unit  kualitas sharemoga awet  unit  dikirim  gudang lazada  bogor mestinya   ciba     yg dijadwalkan  alamat tujuan   bogor"
"171","masukan  klo  ingnya   dikasih buble wranimal   diing i tik  semkhawatir h tntung gk   "
"172","null"
"173","nan sesuai dgn yg  gambar skrg sy lg coba smoga awet"
"174","pengiriman  sesuai tanggal  tertera"
"175","sesuai no tipu"
"176","barang ok ing rapih"
"177","barangnya samdengan cebagus terimakasih lazada"
"178","iriman ceirng raharga murah free ongkir"
"179","mantaarang nya sesuai nan"
"180"," ah beli disinih bangetbarang  samdh  mi ggu alesan nya gak  gangguan dll"
"181","hati hati  tv ga   usb"
"182","null"
"183","null"
"184","null"
"185","null"
"186","null"
"187","null"
"188","null"
"189","null"
"190","null"
"191","null"
"192","null"
"193","null"
"194","null"
"195","null"
"196","null"
"197","null"
"198","null"
"199",""
"200","null"
"201","null"
"202","null"
"203","null"
"204",""
"205","null"
"206","null"
"207","null"
"208","null"
"209","null"
"210","null"
"211","mantap"
"212","mantap"
"213","null"
"214","null"
"215","null"
"216","null"
"217","null"
"218","   uknya terimakasih"
"219","null"
"220","null"
"221","null"
"222","memuaskan uk sesuai deskriing bagus  rimaan uk ceuntuk  yg   jkt"
"223","kenahargernya  lengka g  langsung dii  charger   nyari  beli  sambungan  chargernya tolong d bantu"
"224"," sramnya gb  gb"
"225","gan  sarankan   berhatihati  membeli flashdisk  dikirim    flashdisk rekondisi daur ulang bekas   tertipu  harga mas dosa mas bohong  flashdisknya  tulisan nama aryo  sengaja dihapus tp  bersih file  dikirim  flashdisk  error makan duit haram mas kenyang tp ga berkah"
"226","barang cesamya kualitas fd  bagus file   coering corrupt"
"227","palsu"
"228","null"
"229","very good"
"230","korurus klo  coe fdmengecewakan"
"231","null"
"232","hardisknya keren ndungnya kokoh  udah  aasi transcend elitenya    enkrithanks seller and lazada"
"233","samya   tauas ing raan dateng warnanya biru seneng banget gan hehe  semoga awet barangnya"
