"","klasifikasi","score","text"
"1","Positif",1,"bagus  mantah sesui nan"
"2","Positif",2,"bagus sesuai foto"
"3","Netral",0,"okkkkk mantaaaaaaa  goood"
"4","Positif",2,"bagus sesuai"
"5","Netral",0,"null"
"6","Netral",0,"null"
"7","Netral",0,"null"
"8","Netral",0,"bima"
"9","Netral",0,"   layarnya dah bergaris"
"10","Positif",1,"pesan rabu soreminggu sore samrang sesuai s mantabtks lazada"
"11","Netral",0,"null"
"12","Netral",0,"   cicilnya  aacc bkn"
"13","Netral",0,"ah tv tsb suda  anti gores"
"14","Positif",2,"pengirim barang  sesuai janji  exs     jumat barang samhari rabu semoga barangnya awet "
"15","Positif",1,"kualitas ok"
"16","Negatif",-1," tv led  merek shar hitam lc lei  mati total   bln kemana   menghubungi   bantuan mohon kebijakan  solusinya    garansi  k lazada  mohon bantuannya terimakasih"
"17","Netral",0,"pengiriman sulama taatang  sich"
"18","Netral",0,"ok barang samdengan  smoga   ahankan"
"19","Netral",0,"null"
"20","Netral",0,"null"
"21","Netral",0,"null"
"22","Netral",0,"  cicilan gmna cra nya"
"23","Positif",1,"barang  samdan bagus thanks lazada"
"24","Netral",0,"pengiriman cesihhh"
"25","Netral",0,"samekarang  ok ne la"
"26","Netral",0,"null"
"27","Netral",0,"null"
"28","Netral",0,"null"
"29","Netral",0,"null"
"30","Netral",0,"pengiriman ce  packaging good  barang oke thnks seller thnks lazada"
"31","Positif",3,"barang diterima  selamat produk sesuai  deskri barang nya   nbaruriau terimakasih lazada  kotakom ng lanya mantap"
"32","Netral",0,"null"
"33","Positif",2,"senang belanja disiniyanan okebarang sesuai eksasiorder senin  selasa malam udah nyam  settingin sxan  kurirnyaknya tohthanks lazada"
"34","Netral",0," test barangnya"
"35","Negatif",-1," catransfer taesanan ditolak"
"36","Netral",0,"null"
"37","Netral",0,"null"
"38","Netral",0,"null"
"39","Netral",0,"null"
"40","Netral",0,"null"
"41","Netral",0,"null"
"42","Netral",0,"null"
"43","Positif",3,"barang ok kualitas bagus  harga yg cukuring kualitas gambar  ok iriman lumayan ga nyesel nya beli tv "
"44","Positif",4," minat taalau dikirim  gresik jawa timur  gak klo dr info iriman bebas taakut gk sam   ani sdh full hd alm terima kasih"
"45","Netral",0,"null"
"46","Netral",0,"pengn tivinya"
"47","Netral",0,NA
"48","Netral",0,"manta barang nya"
"49","Netral",0,"barang mulusss mantapp"
"50","Netral",0,"null"
"51","Positif",1,"la  memiliki sfikasi  bagus  harga  terjangkau   tab sfikasi utama uk  emang intel core i  salah   judul  core i"
"52","Positif",2,"barang samdengan aman kemam la sesuai    iklankan   la   dos    install  windows nya overall its worth the money"
"53","Positif",2,"barang sam   selamat  sesuai deskripsi"
"54","Netral",0,"harga  murah mantenget"
